time,AT,CH,DE,FR,IT
4912,0.785165783,0.761905746,0.922086586,0.845368551,0.747640964
4913,0.75158635,0.624884666,0.923772876,0.847233388,0.689278587
4914,0.679371422,0.583498853,0.897647217,0.853207038,0.618514996
4915,0.648841883,0.447683911,0.893502556,0.784850798,0.588240546
4916,0.638446512,0.40055194,0.888945266,0.773057307,0.569439312
4917,0.648838648,0.403032005,0.886836276,0.734434771,0.552342912
4918,0.64374756,0.407024075,0.883961394,0.714195772,0.500119255
4919,0.667164669,0.39733346,0.883754092,0.72160422,0.470698568
4920,0.654732335,0.410070776,0.884564727,0.747470384,0.549287919
4921,0.623758667,0.420528938,0.896360089,0.759094293,0.517883721
4922,0.632496763,0.425492663,0.896299813,0.758341973,0.527433178
4923,0.664839573,0.39734826,0.887262943,0.722000203,0.513710774
4924,0.68347468,0.391810406,0.889459305,0.701424372,0.500026849
4925,0.695037007,0.383113724,0.888783539,0.680825026,0.468500431
4926,0.707862472,0.380947678,0.883915213,0.66512432,0.455130466
4927,0.800020596,0.431493475,0.891314735,0.674371749,0.461099267
4928,0.863883119,0.467932651,0.896579925,0.695077171,0.477280265
4929,0.831428455,0.443922708,0.897610902,0.736197801,0.529985121
4930,0.812928965,0.523920873,0.902798261,0.747601078,0.538642183
4931,0.817544619,0.531888537,0.906978449,0.782395231,0.595640587
4932,0.825528286,0.489561525,0.913649389,0.813815609,0.73874372
4933,0.816617561,0.500900857,0.913526328,0.783771783,0.812575242
4934,0.798747422,0.690063323,0.915444264,0.77058777,0.789117081
4935,0.822714829,0.783091768,0.92055259,0.808188961,0.721192692
4936,0.842132677,0.87537943,0.922972461,0.801277466,0.718597762
4937,0.81883252,0.733700995,0.908726769,0.760552427,0.667448446
4938,0.755205874,0.53431499,0.90249996,0.800804043,0.575346186
4939,0.738530039,0.43777793,0.902790737,0.764031473,0.563419643
4940,0.704314746,0.408417501,0.899884905,0.756183169,0.471121624
4941,0.695843846,0.425571716,0.902228085,0.768976436,0.463079168
4942,0.682929363,0.435809729,0.902278045,0.7798389,0.507203265
4943,0.68660721,0.461339363,0.90515737,0.78462141,0.549537563
4944,0.689831212,0.447798375,0.88887836,0.773387912,0.558283846
4945,0.720039261,0.456819542,0.895736631,0.782720831,0.508382809
4946,0.715336603,0.463393652,0.915703535,0.788092621,0.504108873
4947,0.727796362,0.40119216,0.900352986,0.747185616,0.4706607
4948,0.752289723,0.391289544,0.899614899,0.728805956,0.445491806
4949,0.728634255,0.388701594,0.89624802,0.727877963,0.440811858
4950,0.720516392,0.406915635,0.898340612,0.727206304,0.44210644
4951,0.713214542,0.392253819,0.897525567,0.737098188,0.445853053
4952,0.718173076,0.382243373,0.88871925,0.74723658,0.452025585
4953,0.77209568,0.393615071,0.898131719,0.761159898,0.486524808
4954,0.736352046,0.420236793,0.909340026,0.797730951,0.553813701
4955,0.78198361,0.451027955,0.922317303,0.818264336,0.616255963
4956,0.764555765,0.496731744,0.93126327,0.827345145,0.76230086
4957,0.823984745,0.592410783,0.938013324,0.829143083,0.798793259
4958,0.831561628,0.59280545,0.953507053,0.848268666,0.7960375
4959,0.840859037,0.627611362,0.953065313,0.852999391,0.782009679
4960,0.823459662,0.827792037,0.928146404,0.860159308,0.832022552
4961,0.726357106,0.683419211,0.921958659,0.850462782,0.699050974
4962,0.696834707,0.513244579,0.93717757,0.82142459,0.600944138
4963,0.761569827,0.432763274,0.929424987,0.780361579,0.594375283
4964,0.716311184,0.394929158,0.91955792,0.742438202,0.499605579
4965,0.699476075,0.402709699,0.923372383,0.740294722,0.480079209
4966,0.692857088,0.46369436,0.933436441,0.754036696,0.448757466
4967,0.671546891,0.492028366,0.933315603,0.749961833,0.444268895
4968,0.672438945,0.390106779,0.905756746,0.731887069,0.443306353
4969,0.684227236,0.378657576,0.905192786,0.734375461,0.452890769
4970,0.68208543,0.407137328,0.900846643,0.734137117,0.561174041
4971,0.668775793,0.399240043,0.889182617,0.7296047,0.608561742
4972,0.65094857,0.374690112,0.884780498,0.708341965,0.602050275
4973,0.639518696,0.366812634,0.886242447,0.695058707,0.507406258
4974,0.644120963,0.367617803,0.887458499,0.692104544,0.526845836
4975,0.662083788,0.39480921,0.881108741,0.697263492,0.561112406
4976,0.651895443,0.4083074,0.880830965,0.716318038,0.532443227
4977,0.657826542,0.479510684,0.892568487,0.749341291,0.516235066
4978,0.73929376,0.549714216,0.900299845,0.764037562,0.590007308
4979,0.783854208,0.79359832,0.902446162,0.755634634,0.674139522
4980,0.808526656,0.766901592,0.902986114,0.74762531,0.782857959
4981,0.818449216,0.694001743,0.914357802,0.762090748,0.922213468
4982,0.78047597,0.735379221,0.909707936,0.751478875,0.885665083
4983,0.821329753,0.57924685,0.900990298,0.736514724,0.872539406
4984,0.831686489,0.73765723,0.905256604,0.725162136,0.627854673
4985,0.735000554,0.564884924,0.90647515,0.752682671,0.5803682
4986,0.742697522,0.500801612,0.897750162,0.778913222,0.528417603
4987,0.822685802,0.491217745,0.903453434,0.779238814,0.550571286
4988,0.839438401,0.445670301,0.897457342,0.792182628,0.609012341
4989,0.776951225,0.41454893,0.897968906,0.772040872,0.57420403
4990,0.744534545,0.401648305,0.893230459,0.763662168,0.532450429
4991,0.721181135,0.38919377,0.889641305,0.748303225,0.471562115
4992,0.711294503,0.380297809,0.892039367,0.752912564,0.450949547
4993,0.668205394,0.372392486,0.888824446,0.724958483,0.428624269
4994,0.683579152,0.371869932,0.88833765,0.708131882,0.43774339
4995,0.665053609,0.387632039,0.889573316,0.705635981,0.433361992
4996,0.66862433,0.372350086,0.882979184,0.708409918,0.425572962
4997,0.658795311,0.36314309,0.870331069,0.7699245,0.434138842
4998,0.64690936,0.365325193,0.870421896,0.77637176,0.455563768
4999,0.642693472,0.36882063,0.870370357,0.755430352,0.459239541
5000,0.662921139,0.378633366,0.876363601,0.754481989,0.457051208
