set_technologies,set_capacity_types,set_location,set_time_steps_yearly,scaling,constraint_type,component_year,raw_dual,coefficient,discount_factor,contribution_to_rc
DAC,power,PL,0,0.08024258719069129,lifetime,0,-349.76982765999446,1.0,1.0,-4358.9051637728135
DAC,power,PT,0,0.08024258719069129,lifetime,0,-288.1669015462577,1.0,1.0,-3591.196540827476
DAC,power,RO,0,0.08024258719069129,lifetime,0,-401.8023981148979,1.0,1.0,-5007.346001444852
DAC,power,SE,0,0.08024258719069129,lifetime,0,-865.2080157191597,1.0,1.0,-10782.404281943815
DAC,power,SI,0,0.08024258719069129,lifetime,0,-430.81383450259364,1.0,1.0,-5368.892624047535
DAC,power,SK,0,0.08024258719069129,lifetime,0,-465.5969506110415,1.0,1.0,-5802.367133360003
DAC,power,UK,0,0.08024258719069129,lifetime,0,-635.9143833200169,1.0,1.0,-7924.898804780655
EAF,power,AT,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,BE,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,BG,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,CH,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
EAF,power,CZ,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,DE,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,DK,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
EAF,power,EE,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
EAF,power,EL,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,ES,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,FI,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,FR,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,HR,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,HU,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,IE,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
EAF,power,IT,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,LT,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
EAF,power,LU,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,LV,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
EAF,power,NL,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,NO,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,PL,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,PT,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,RO,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,SE,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,SI,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,SK,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,UK,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
H2_DRI,power,AT,0,0.08024258719069129,lifetime,0,-276.3162188126025,1.0,1.0,-3443.510839897958
H2_DRI,power,BE,0,0.08024258719069129,lifetime,0,-323.8112430556608,1.0,1.0,-4035.403822238987
H2_DRI,power,BG,0,0.08024258719069129,lifetime,0,-272.64931007907643,1.0,1.0,-3397.8130519538595
H2_DRI,power,CH,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
H2_DRI,power,CZ,0,0.08024258719069129,lifetime,0,-295.3960410975616,1.0,1.0,-3681.2875985114
H2_DRI,power,DE,0,0.08024258719069129,lifetime,0,-288.50924470164614,1.0,1.0,-3595.4628932392557
H2_DRI,power,DK,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
H2_DRI,power,EE,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
H2_DRI,power,EL,0,0.08024258719069129,lifetime,0,-329.1465234546986,1.0,1.0,-4101.8932088082265
H2_DRI,power,ES,0,0.08024258719069129,lifetime,0,-311.1066857543383,1.0,1.0,-3877.0769568410537
H2_DRI,power,FI,0,0.08024258719069129,lifetime,0,-253.2953159105358,1.0,1.0,-3156.6195056572137
H2_DRI,power,FR,0,0.08024258719069129,lifetime,0,-333.49785215605107,1.0,1.0,-4156.120382354013
H2_DRI,power,HR,0,0.08024258719069129,lifetime,0,-253.15300879639082,1.0,1.0,-3154.8460444674993
H2_DRI,power,HU,0,0.08024258719069129,lifetime,0,-274.0090593619393,1.0,1.0,-3414.7585335300146
H2_DRI,power,IE,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
H2_DRI,power,IT,0,0.08024258719069129,lifetime,0,-293.47234736011967,1.0,1.0,-3657.3141225207723
