set_technologies,set_capacity_types,set_location,set_time_steps_yearly,unit,value,vbasis,rc_capex_equivalent,rc_capex_equivalent_input_units
haber_bosch,power,NL,0,gigawatt,1.8848651377150223,0.0,-0.001537245102781526,-0.001537245102781526
haber_bosch,power,NO,0,gigawatt,0.6755782984272872,0.0,-0.001537245102781526,-0.001537245102781526
haber_bosch,power,PL,0,gigawatt,2.2012552530171927,0.0,-0.001537245102781526,-0.001537245102781526
haber_bosch,power,PT,0,gigawatt,0.07686716874673882,0.0,-0.001537245102781526,-0.001537245102781526
haber_bosch,power,RO,0,gigawatt,1.345689293640859,0.0,-0.001537245102781526,-0.001537245102781526
haber_bosch,power,SE,0,gigawatt,0.0,0.0,651.3527543771343,651.3527543771343
haber_bosch,power,SI,0,gigawatt,0.0,0.0,370.26518789215106,370.26518789215106
haber_bosch,power,SK,0,gigawatt,0.34131801329015266,0.0,-0.001537245102781526,-0.001537245102781526
haber_bosch,power,UK,0,gigawatt,0.6804957230718992,0.0,-0.001537245102781526,-0.001537245102781526
hard_coal_boiler_DH,power,AT,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,BE,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,BG,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,CH,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,CZ,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,DE,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,DK,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,EE,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,EL,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,ES,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,FI,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,FR,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,HR,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,HU,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,IE,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,IT,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,LT,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,LU,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,LV,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,NL,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,NO,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,PL,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,PT,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,RO,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,SE,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,SI,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,SK,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_boiler_DH,power,UK,0,gigawatt,0.0,0.0,291.92633315648675,291.92633315648675
hard_coal_plant,power,AT,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,BE,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,BG,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,CH,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,CZ,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,DE,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,DK,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,EE,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,EL,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,ES,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,FI,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,FR,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,HR,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,HU,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,IE,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,IT,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,LT,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,LU,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,LV,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,NL,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,NO,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,PL,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,PT,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,RO,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,SE,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,SI,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,SK,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
hard_coal_plant,power,UK,0,gigawatt,0.0,0.0,2227.6439821730933,2227.6439821730933
heat_pump,power,AT,0,gigawatt,25.320774877139407,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,BE,0,gigawatt,37.65573367957158,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,BG,0,gigawatt,10.09668612805949,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,CH,0,gigawatt,34.41662750879064,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,CZ,0,gigawatt,30.23171583374074,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,DE,0,gigawatt,239.07616173238165,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,DK,0,gigawatt,21.58520613956418,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,EE,0,gigawatt,4.040410536674877,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,EL,0,gigawatt,20.57900358506486,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,ES,0,gigawatt,37.20251308889857,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,FI,0,gigawatt,18.829802695838666,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,FR,0,gigawatt,156.10727184888043,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,HR,0,gigawatt,9.45730310240557,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,HU,0,gigawatt,28.405452784369363,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,IE,0,gigawatt,10.279968648630563,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,IT,0,gigawatt,153.95334886985933,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,LT,0,gigawatt,5.933725121895426,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,LU,0,gigawatt,2.5992614567420955,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,LV,0,gigawatt,4.871488802138442,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,NL,0,gigawatt,45.64812255149427,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,NO,0,gigawatt,19.5321954958025,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,PL,0,gigawatt,80.49440178783878,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,PT,0,gigawatt,2.544604169775359,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,RO,0,gigawatt,12.409143663172646,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,SE,0,gigawatt,22.738605519265832,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,SI,0,gigawatt,4.469542174139849,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,SK,0,gigawatt,8.16956260967481,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump,power,UK,0,gigawatt,154.940297801383,0.0,-0.0012085320860251159,-0.0012085320860251159
heat_pump_DH,power,AT,0,gigawatt,0.0,0.0,495.63975049432156,495.63975049432156
heat_pump_DH,power,BE,0,gigawatt,0.0,0.0,287.5828293209904,287.5828293209904
heat_pump_DH,power,BG,0,gigawatt,0.0,0.0,236.57688471193296,236.57688471193296
heat_pump_DH,power,CH,0,gigawatt,0.0,0.0,383.4359231099363,383.4359231099363
heat_pump_DH,power,CZ,0,gigawatt,0.0,0.0,390.79754594875635,390.79754594875635
heat_pump_DH,power,DE,0,gigawatt,0.0,0.0,349.1206931254827,349.1206931254827
heat_pump_DH,power,DK,0,gigawatt,0.0,0.0,271.299757471759,271.299757471759
heat_pump_DH,power,EE,0,gigawatt,0.0,0.0,26.912246536939165,26.912246536939165
heat_pump_DH,power,EL,0,gigawatt,2.1770489016401515,0.0,-0.0014093944564592675,-0.0014093944564592675
heat_pump_DH,power,ES,0,gigawatt,0.0,0.0,142.76420206037733,142.76420206037733
heat_pump_DH,power,FI,0,gigawatt,0.0,0.0,314.98262280506344,314.98262280506344
heat_pump_DH,power,FR,0,gigawatt,0.0,0.0,211.01752341732129,211.01752341732129
heat_pump_DH,power,HR,0,gigawatt,0.0,0.0,432.56121980887735,432.56121980887735
heat_pump_DH,power,HU,0,gigawatt,0.0,0.0,126.00581605342177,126.00581605342177
heat_pump_DH,power,IE,0,gigawatt,0.0,0.0,165.3677206602904,165.3677206602904
heat_pump_DH,power,IT,0,gigawatt,0.0,0.0,108.69098245930036,108.69098245930036
heat_pump_DH,power,LT,0,gigawatt,0.0,0.0,287.07146653412406,287.07146653412406
heat_pump_DH,power,LU,0,gigawatt,0.0,0.0,437.9906688678536,437.9906688678536
heat_pump_DH,power,LV,0,gigawatt,0.0,0.0,239.25350835970187,239.25350835970187
heat_pump_DH,power,NL,0,gigawatt,0.06380619965129196,0.0,-0.0014093944564592675,-0.0014093944564592675
heat_pump_DH,power,NO,0,gigawatt,0.0,0.0,420.11255676937117,420.11255676937117
heat_pump_DH,power,PL,0,gigawatt,0.0,0.0,501.65502767751366,501.65502767751366
heat_pump_DH,power,PT,0,gigawatt,0.0,0.0,126.53507601443903,126.53507601443903
heat_pump_DH,power,RO,0,gigawatt,0.0,0.0,399.5809481177919,399.5809481177919
heat_pump_DH,power,SE,0,gigawatt,0.0,0.0,289.65169905222024,289.65169905222024
heat_pump_DH,power,SI,0,gigawatt,0.0,0.0,518.0038521643484,518.0038521643484
heat_pump_DH,power,SK,0,gigawatt,0.0,0.0,430.15640435880164,430.15640435880164
heat_pump_DH,power,UK,0,gigawatt,0.0,0.0,110.03539863661422,110.03539863661422
hydrogen_FC_ship,power,AT,0,gigawatt,0.02555340909090907,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,BE,0,gigawatt,8.587202613636364,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,BG,0,gigawatt,0.1112057954545454,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,CH,0,gigawatt,0.02555340909090907,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,CZ,0,gigawatt,0.005433977272727152,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,DE,0,gigawatt,2.1088690909090912,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,DK,0,gigawatt,0.8873781818181818,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,EE,0,gigawatt,0.3676586363636362,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,EL,0,gigawatt,2.8205313636363636,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,ES,0,gigawatt,9.461451931818184,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,FI,0,gigawatt,0.5021380681818179,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,FR,0,gigawatt,1.476293181818182,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,HR,0,gigawatt,0.08113772727272708,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,HU,0,gigawatt,0.005416704545454385,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,IE,0,gigawatt,0.34924715909090903,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,IT,0,gigawatt,3.9260985227272736,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,LT,0,gigawatt,0.2454469318181818,0.0,-0.0010379658039028072,-0.0010379658039028072
hydrogen_FC_ship,power,LU,0,gigawatt,0.0001247727272727273,0.0,-0.0010379658039028072,-0.0010379658039028072
