time,AT,CH,DE,FR,IT
37,0.1837710036099339,0.2365180892536459,0.2293016702423737,0.3983973575490941,0.3025494058242408
38,0.0818209227840225,0.1446816973783604,0.154169212115821,0.3478627513646794,0.1984933192980674
39,0.0459625084860006,0.0489117255914948,0.0797581258175675,0.2368358300818325,0.0857259530946917
40,0.0,0.0,0.0,0.1279484683344638,0.0094002187516203
41,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0
55,0.0697806015763384,0.0,0.0,0.0,0.108543178397779
56,0.1544078281638477,0.1221813400826347,0.0499115685894675,0.1833878584113113,0.2199440340957921
57,0.2726811041888559,0.2768373144162657,0.140169919995392,0.3184724343187277,0.3671700762818707
58,0.3138348919793945,0.42786159110301,0.2407148572654469,0.475269397022319,0.4566041758867633
59,0.2866870626082906,0.5146375308016244,0.2893577551846131,0.5733157431171099,0.5043741270704687
60,0.2202909264136598,0.5147805718768667,0.2514835042915618,0.6038402812770489,0.5080221118879914
61,0.1247207752037587,0.4468396207536106,0.1678009661736933,0.5677392599039831,0.4350611765376002
62,0.0464931167551775,0.3274809771510134,0.0821565993290429,0.4663547097433272,0.2986414416009118
63,0.0185823708828216,0.1682438081030765,0.0256596905682448,0.3062790510507983,0.1403132559163463
64,0.0,0.0,0.0,0.1626840144730688,0.0165970527211836
65,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0
79,0.0682410940090918,0.0,0.0,0.0,0.1077891869011937
80,0.129627494671631,0.1133663233420327,0.003482726115706,0.1711529599354044,0.2255066951959057
81,0.228771674474542,0.2590986818025437,0.0248040144715264,0.3043685021940288,0.3617867916230701
82,0.293143663069517,0.4108091172179308,0.0649602668236505,0.4540568406851356,0.4496460598250257
83,0.2821469053578063,0.5102933448489494,0.083531110078176,0.5334811527327874,0.4843436094164818
84,0.197988619937572,0.5256312288274284,0.0685006630543032,0.5377394239799675,0.4585398302364816
85,0.0983939190529111,0.4631142948072763,0.0392918762409232,0.4841272288476841,0.3855624532812978
86,0.0260803268852913,0.314830673650569,0.0121774393880525,0.3812022138829559,0.2652648866725159
87,0.003235073436654,0.1232852453247417,0.0,0.2376778513362808,0.1217603407967006
88,0.0,0.0,0.0,0.1140665518698277,0.0184652000929183
89,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.1182978639303249
