set_technologies,set_capacity_types,set_location,set_time_steps_yearly,unit,value,reduced_cost,vbasis,rc_capex_equivalent,rc_capex_equivalent_input_units,rc_capex_equivalent_per_kw_eff
DAC,power,HR,0,kilotCO2eq / hour,0.0,0.0,0.0,7827.189091410954,7827.189091410954,7827.189091410954
DAC,power,HU,0,kilotCO2eq / hour,0.0,0.0,0.0,11444.043964016138,11444.043964016138,11444.043964016138
DAC,power,IE,0,kilotCO2eq / hour,0.0,0.0,0.0,4302.072006635396,4302.072006635396,4302.072006635396
DAC,power,IT,0,kilotCO2eq / hour,0.0,0.0,0.0,8629.13676442523,8629.13676442523,8629.13676442523
DAC,power,LT,0,kilotCO2eq / hour,0.0,0.0,0.0,4326.43913650609,4326.43913650609,4326.43913650609
DAC,power,LU,0,kilotCO2eq / hour,0.0,0.0,0.0,7505.668449536941,7505.668449536941,7505.668449536941
DAC,power,LV,0,kilotCO2eq / hour,0.0,0.0,0.0,4314.040413728202,4314.040413728202,4314.040413728202
DAC,power,NL,0,kilotCO2eq / hour,0.0,0.0,0.0,10614.005084279981,10614.005084279981,10614.005084279981
DAC,power,NO,0,kilotCO2eq / hour,0.0,0.0,0.0,3847.1883781693286,3847.1883781693286,3847.1883781693286
DAC,power,PL,0,kilotCO2eq / hour,0.0,0.0,0.0,8073.238263526376,8073.238263526376,8073.238263526376
DAC,power,PT,0,kilotCO2eq / hour,0.0,0.0,0.0,9837.071311430733,9837.071311430733,9837.071311430733
DAC,power,RO,0,kilotCO2eq / hour,0.0,0.0,0.0,8115.826246970977,8115.826246970977,8115.826246970977
DAC,power,SE,0,kilotCO2eq / hour,0.0,0.0,0.0,1649.7391453553792,1649.7391453553792,1649.7391453553792
DAC,power,SI,0,kilotCO2eq / hour,0.0,0.0,0.0,7818.695709129687,7818.695709129687,7818.695709129687
DAC,power,SK,0,kilotCO2eq / hour,0.0,0.0,0.0,7736.250605622322,7736.250605622322,7736.250605622322
DAC,power,UK,0,kilotCO2eq / hour,0.0,0.0,0.0,4370.767520694594,4370.767520694594,4370.767520694594
EAF,power,AT,0,kilotonproduct / hour,0.47157534245890415,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,BE,0,kilotonproduct / hour,0.5472602739520548,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,BG,0,kilotonproduct / hour,0.045616438356164385,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,CH,0,kilotonproduct / hour,0.0,0.0,0.0,1847.1646143795613,1847.1646143795613,1847.1646143795613
EAF,power,CZ,0,kilotonproduct / hour,0.3382876712328767,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,DE,0,kilotonproduct / hour,2.913413824092466,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,DK,0,kilotonproduct / hour,0.0,0.0,0.0,1847.1646143795613,1847.1646143795613,1847.1646143795613
EAF,power,EE,0,kilotonproduct / hour,0.0,0.0,0.0,1847.1646143795613,1847.1646143795613,1847.1646143795613
EAF,power,EL,0,kilotonproduct / hour,0.10047945205479454,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,ES,0,kilotonproduct / hour,0.9808904109794521,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,FI,0,kilotonproduct / hour,0.27054794522602743,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,FR,0,kilotonproduct / hour,1.0539726027712328,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,HR,0,kilotonproduct / hour,0.006093970042465755,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,HU,0,kilotonproduct / hour,0.13554794520547947,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,IE,0,kilotonproduct / hour,0.0,0.0,0.0,1847.1646143795613,1847.1646143795613,1847.1646143795613
