set_technologies,set_capacity_types,set_location,set_time_steps_yearly,unit,value,capacity,capacity_ceiling,vbasis,rc_capex_equivalent,rc_capex_equivalent_input_units
H2_DRI,power,FI,0,kilotonproduct / hour,0.0,0.001,inf,0.0,1776.3714864214217,1776.3714864214217
H2_DRI,power,FR,0,kilotonproduct / hour,0.0,0.001,inf,0.0,498.4111268952888,498.4111268952888
H2_DRI,power,HR,0,kilotonproduct / hour,0.0,0.001,inf,0.0,1003.8878886121392,1003.8878886121392
H2_DRI,power,HU,0,kilotonproduct / hour,0.0,0.001,inf,0.0,1014.6217313165985,1014.6217313165985
H2_DRI,power,IE,0,kilotonproduct / hour,0.0,0.001,inf,0.0,4156.120382354013,4156.120382354013
H2_DRI,power,IT,0,kilotonproduct / hour,0.0,0.001,inf,0.0,501.67911501243816,501.67911501243816
H2_DRI,power,LT,0,kilotonproduct / hour,0.0,0.001,inf,0.0,4156.120382354013,4156.120382354013
H2_DRI,power,LU,0,kilotonproduct / hour,0.0,0.001,inf,0.0,1255.6120395902844,1255.6120395902844
H2_DRI,power,LV,0,kilotonproduct / hour,0.0,0.001,inf,0.0,4156.120382354013,4156.120382354013
H2_DRI,power,NL,0,kilotonproduct / hour,0.0,0.001,inf,0.0,1437.7155335838124,1437.7155335838124
H2_DRI,power,NO,0,kilotonproduct / hour,0.0,0.001,inf,0.0,2112.612062583613,2112.612062583613
H2_DRI,power,PL,0,kilotonproduct / hour,0.0,0.001,inf,0.0,1397.4060618443855,1397.4060618443855
H2_DRI,power,PT,0,kilotonproduct / hour,0.07376842791911285,0.07476842791911285,inf,0.0,0.0,0.0
H2_DRI,power,RO,0,kilotonproduct / hour,0.0,0.001,inf,0.0,1954.2203508661064,1954.2203508661064
H2_DRI,power,SE,0,kilotonproduct / hour,0.0,0.001,inf,0.0,1470.7559469043513,1470.7559469043513
H2_DRI,power,SI,0,kilotonproduct / hour,0.0,0.001,inf,0.0,655.8409514768332,655.8409514768332
H2_DRI,power,SK,0,kilotonproduct / hour,0.0,0.001,inf,0.0,978.075039887136,978.075039887136
H2_DRI,power,UK,0,kilotonproduct / hour,0.0,0.001,inf,0.0,1917.210029976201,1917.210029976201
HDT_BET,power,AT,0,megatkm / hour,0.0,0.001,inf,0.0,93.37228566000144,93.37228566000144
HDT_BET,power,BE,0,megatkm / hour,0.0,0.001,inf,0.0,62.40373276991872,62.40373276991872
HDT_BET,power,BG,0,megatkm / hour,0.0,0.001,inf,-1.0,14.393506942891122,14.393506942891122
HDT_BET,power,CH,0,megatkm / hour,0.0,0.001,inf,0.0,84.66386089737878,84.66386089737878
HDT_BET,power,CZ,0,megatkm / hour,8.927524413694666,8.928524413694666,inf,0.0,0.0,0.0
HDT_BET,power,DE,0,megatkm / hour,0.0,0.001,inf,0.0,75.35269811616885,75.35269811616885
HDT_BET,power,DK,0,megatkm / hour,3.4236487520567773,3.4246487520567768,inf,0.0,0.0,0.0
HDT_BET,power,EE,0,megatkm / hour,1.0942076006581696,1.0952076006581692,inf,0.0,0.0,0.0
HDT_BET,power,EL,0,megatkm / hour,0.0,0.001,inf,-1.0,8.038281619564117,8.038281619564117
HDT_BET,power,ES,0,megatkm / hour,0.0,0.001,inf,-1.0,2.1630121551474417,2.1630121551474417
HDT_BET,power,FI,0,megatkm / hour,6.575245603949012,6.576245603949013,inf,0.0,0.0,0.0
HDT_BET,power,FR,0,megatkm / hour,39.75836318220566,39.75936318220566,inf,0.0,0.0,0.0
HDT_BET,power,HR,0,megatkm / hour,0.0,0.001,inf,0.0,40.926140549409865,40.926140549409865
HDT_BET,power,HU,0,megatkm / hour,8.447933588406716,8.448933588406717,inf,0.0,0.0,0.0
HDT_BET,power,IE,0,megatkm / hour,2.8298696350336026,2.8308696350336024,inf,0.0,0.0,0.0
HDT_BET,power,IT,0,megatkm / hour,0.0,0.001,inf,0.0,71.33911883022432,71.33911883022432
HDT_BET,power,LT,0,megatkm / hour,12.124796582281089,12.125796582281088,inf,0.0,0.0,0.0
