capex_euro_per_kw,node,year,built_gw,rc_euro_per_kw,rc_per_kw_eff
600,CH,0,0.0,587.9369736901949,1679.8199248291455
600,CH,1,0.0,587.9369736901949,1679.8199248291455
600,CH,2,0.0,587.9369736901949,1679.8199248291455
600,CH,3,0.0,587.9369736901949,1679.8199248291455
600,CH,4,0.0,587.9369736901949,1679.8199248291455
600,CH,5,0.0,587.9369736901949,1679.8199248291455
600,DE,0,0.0,-8.104628079763643e-14,-2.315608022789636e-13
600,DE,1,0.0,587.9369736901949,1679.8199248291455
600,DE,2,0.0,587.9369736901949,1679.8199248291455
600,DE,3,0.0,587.9369736901949,1679.8199248291455
600,DE,4,0.0,587.9369736901949,1679.8199248291455
600,DE,5,0.0,587.9369736901949,1679.8199248291455
500,CH,0,0.0,0.0,0.0
500,CH,1,0.0,487.93697369019486,1394.1056391148568
500,CH,2,0.0,487.93697369019486,1394.1056391148568
500,CH,3,0.0,487.93697369019486,1394.1056391148568
500,CH,4,0.0,487.93697369019486,1394.1056391148568
500,CH,5,0.0,487.93697369019486,1394.1056391148568
500,DE,0,0.0,438.8868433302664,1253.9624095150596
500,DE,1,0.0,487.93697369019486,1394.1056391148568
500,DE,2,0.0,487.93697369019486,1394.1056391148568
500,DE,3,0.0,487.93697369019486,1394.1056391148568
500,DE,4,0.0,487.93697369019486,1394.1056391148568
500,DE,5,0.0,487.93697369019486,1394.1056391148568
400,CH,0,0.0,387.93697369019486,1108.391353400568
400,CH,1,0.0,387.93697369019486,1108.391353400568
400,CH,2,0.0,387.93697369019486,1108.391353400568
400,CH,3,0.0,387.93697369019486,1108.391353400568
400,CH,4,0.0,387.93697369019486,1108.391353400568
400,CH,5,0.0,387.93697369019486,1108.391353400568
400,DE,0,0.0,224.31857501477168,640.9102143279256
400,DE,1,0.0,246.17061087296696,703.3446024941985
400,DE,2,0.0,205.25804465921226,586.4515561691838
400,DE,3,0.0,136.9160647186528,391.18875633901195
400,DE,4,0.0,0.0,0.0
400,DE,5,0.0,387.93697369019486,1108.391353400568
300,CH,0,0.0,287.9369736901949,822.6770676862795
300,CH,1,0.0,287.9369736901949,822.6770676862795
300,CH,2,0.0,287.9369736901949,822.6770676862795
300,CH,3,0.0,287.9369736901949,822.6770676862795
300,CH,4,0.0,287.9369736901949,822.6770676862795
300,CH,5,0.0,287.93697369019486,822.6770676862794
300,DE,0,0.0,153.85127648060015,439.57507565886203
300,DE,1,0.0,182.71426936179205,522.0407696051254
300,DE,2,0.0,152.34789208810653,435.2796916803088
300,DE,3,0.0,101.62268615350638,290.350531867164
300,DE,4,0.0,0.0,0.0
300,DE,5,0.0,287.93697369019486,822.6770676862794
268,CH,0,0.0,217.08467625109674,620.241932145997
268,CH,1,0.0,207.86128069057295,593.8893734016431
268,CH,2,0.0,193.9870447009327,554.2486991455277
268,CH,3,0.0,170.81096836437183,488.0313381839245
268,CH,4,0.0,124.38010448859764,355.3717271102826
268,CH,5,0.0,255.93697369019486,731.2484962577071
